Question,Job Title,Job Description,Similarity Score
what is a consumer,Software Engineer,"This role as a Software Engineer involves ownership of functional features, performance goals, and scalable engineering practices.",0
can you give examples of functional interfaces with multiple arguments,Quality Assurance (QA) Engineer,Join the team as a Quality Assurance (QA) Engineer to solve technical problems and contribute to strategic system improvements.,0.335668574
what are the new features in java 5,Backend Developer,Backend Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.348398756
what are the new features in java 6,Backend Developer,Backend Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.348398756
what are the new features in java 7,Backend Developer,The Backend Developer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.348398756
what are the new features in java 8,Backend Developer,"As a Backend Developer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.348398756
why are global and static objects evil can you show it with a code example,System Architect,System Architects at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.312160283
tell me about inversion of control and how it improves the design of code,Software Engineer,"This role as a Software Engineer involves ownership of functional features, performance goals, and scalable engineering practices.",0.322855415
the law of demeter the principle of least knowledge states that each unit should have only limited knowledge about other units and it should only talk to its immediate friends sometimes stated as dont talk to strangers,Quality Assurance (QA) Engineer,The Quality Assurance (QA) Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.325039494
would you write code violating this principle show why it is a bad design and then fix it,Software Engineer,The Software Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.395670191
activerecord is the design pattern that promotes objects to include functions such as insert update and delete and properties that correspond to the columns in some underlying database table in your opinion and experience which are the limits and pitfalls of the this pattern,Full-Stack Developer,Full-Stack Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.340988156
datamapper is a design pattern that promotes the use of a layer of mappers that moves data between objects and a database while keeping them independent of each other and the mapper itself on the contrary in activerecord objects directly incorporate operations for persisting themselves to a database and properties corresponding to the underlying database tables do you have an opinion on those patterns when would you use one instead of the other,Full-Stack Developer,Full-Stack Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.370029008
tony hoare who invented the null reference once said i call it my billiondollar mistake since it led to innumerable errors vulnerabilities and system crashes which have probably caused a billion dollars of pain and damage in the last forty years,Security Engineer,"As a Security Engineer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.417238153
would you discuss the techniques to avoid it such as the null object pattern introduced by the gof book or option types,Quality Assurance (QA) Engineer,Quality Assurance (QA) Engineers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.242689357
many state that in objectoriented programming composition is often a better option than inheritance whats you opinion,Data Engineer,"This role as a Data Engineer involves ownership of functional features, performance goals, and scalable engineering practices.",0.387480649
what is an anticorruption layer,Full-Stack Developer,"This role as a Full-Stack Developer involves ownership of functional features, performance goals, and scalable engineering practices.",0.323421776
singleton is a design pattern that restricts the instantiation of a class to one single object writing a threadsafe singleton class is not so obvious would you try,Software Engineer,Software Engineers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.208796705
the ability to change implementation without affecting clients is called data abstraction produce an example violating this property then fix it,Software Engineer,Software Engineers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.34501308
write a snippet of code violating the dont repeat yourself dry principle then fix it,Software Engineer,Software Engineers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.260421514
how would you deal with dependency hell,Software Engineer,The Software Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0
is goto evil you may have heard of the famous paper go to statement considered harmful by edsger dijkstra in which he criticized the use of the goto statement and advocated structured programming instead the use of goto has always been controversial so much that even dijkstras letter was criticized with articles such as goto considered harmful considered harmful whats your opinion on the use of goto,Data Engineer,The Data Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.306702417
the robustness principle is a general design guideline for software that recommends be conservative in what you send be liberal in what you accept it is often reworded as be a tolerant reader and a careful writer would you like to discuss the rationale of this principle,Software Engineer,Join the team as a Software Engineer to solve technical problems and contribute to strategic system improvements.,0.420728405
separation of concerns is a design principle for separating a computer program into distinct areas each one addressing a separate concern there are a lot of different mechanisms for achieving separation of concerns use of objects functions modules or patterns such as mvc and the like would you discuss this topic,Software Engineer,"This role as a Software Engineer involves ownership of functional features, performance goals, and scalable engineering practices.",0.274139749
it is often said that one of the most important goals in objectoriented design and code design in general is to have high cohesion and loose coupling what does it mean why is it that important and how is it achieved,Python Developer,Join the team as a Python Developer to solve technical problems and contribute to strategic system improvements.,0.228462894
why do array indexes start with 0 in most languages,Software Engineer,The Software Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0
how do tests and tdd influence code design,Quality Assurance (QA) Engineer,Join the team as a Quality Assurance (QA) Engineer to solve technical problems and contribute to strategic system improvements.,0.352234447
write a snippet of code violating the dont repeat yourself dry principle then explain why it is a bad design and fix it,Software Engineer,"As a Software Engineer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.312133072
whats the difference between cohesion and coupling,Software Engineer,"This role as a Software Engineer involves ownership of functional features, performance goals, and scalable engineering practices.",0
what is refactoring useful for,Software Engineer,The Software Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0
are comments in code useful some say they should be avoided as much as possible and hopefully made unnecessary do you agree,Algorithm Engineer,Join the team as a Algorithm Engineer to solve technical problems and contribute to strategic system improvements.,0.325179291
what is the difference between design and architecture,Algorithm Engineer,Algorithm Engineers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.333727658
in tdd why are tests written before code,Quality Assurance (QA) Engineer,Join the team as a Quality Assurance (QA) Engineer to solve technical problems and contribute to strategic system improvements.,0.374137244
c supports multiple inheritance and java allows a class to implement multiple interfaces what impact does using these facilities have on orthogonality is there a difference in impact between using multiple inheritance and multiple interfaces is there a difference between using delegation and using inheritance this question is from the pragmatic programmer by andrew hunt and david thomas,Full-Stack Developer,The Full-Stack Developer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.206958927
what are the pros and cons of holding domain logic in stored procedures,Backend Developer,The Backend Developer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.473887396
in your opinion why has objectoriented design dominated the market for so many years,Frontend Developer,"As a Frontend Developer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.337115178
what would you do to understand if your code has a bad design,Software Engineer,"As a Software Engineer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.322855415
tell me the 3 worst defects of your preferred language,Quality Assurance (QA) Engineer,"As a Quality Assurance (QA) Engineer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.325039494
why is there a rising interest on functional programming,Data Engineer,The Data Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.311254292
what is a closure and what is useful for whats in common between closures and classes,Software Engineer,"This role as a Software Engineer involves ownership of functional features, performance goals, and scalable engineering practices.",0.241992309
what are generics useful for,Software Engineer,Join the team as a Software Engineer to solve technical problems and contribute to strategic system improvements.,0
what are higherorder functions what are they useful for write one in your preferred language,Quality Assurance (QA) Engineer,"This role as a Quality Assurance (QA) Engineer involves ownership of functional features, performance goals, and scalable engineering practices.",0.233018125
write a loop then transform it into a recursive function using only immutable structures ie avoid using variables discuss,Data Engineer,The Data Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.256957367
what does it mean when a language treats functions as firstclass citizens,Data Engineer,The Data Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.294776083
why is it important that in a language functions are firstclass citizens,Data Engineer,"This role as a Data Engineer involves ownership of functional features, performance goals, and scalable engineering practices.",0.294776083
show me an example where an anonymous function can be useful,Software Engineer,The Software Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0
there are a lot of different type systems lets talk about static and dynamic type systems and about strong and weak ones you surely have an opinion and a preference about this topic would you like to share them and discuss why and when would you promote one particular type system for developing an enterprise software,Software Engineer,Join the team as a Software Engineer to solve technical problems and contribute to strategic system improvements.,0.357773502
what are namespaces useful for invent an alternative,Software Engineer,"As a Software Engineer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0
talk about interoperability between java and c in alternative choose 2 other arbitrary languages,Backend Developer,"As a Backend Developer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.348398756
why do many software engineers not like java,Software Engineer,"As a Software Engineer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.389714163
what makes a good language good and a bad language bad,Software Engineer,Join the team as a Software Engineer to solve technical problems and contribute to strategic system improvements.,0
write two functions one referentially transparent and the other one referentially opaque discuss,Quality Assurance (QA) Engineer,Quality Assurance (QA) Engineers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.233018125
what is a stack and what is a heap whats a stack overflow,Software Engineer,Join the team as a Software Engineer to solve technical problems and contribute to strategic system improvements.,0.341232497
some languages especially the ones that promote a functional approach allow a technique called pattern matching do you know it how is pattern matching different from switch clauses,Quality Assurance (QA) Engineer,The Quality Assurance (QA) Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.382896012
why do some languages have no exceptions by design what are the pros and cons,Frontend Developer,"As a Frontend Developer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.337115178
if cat is an animal is takecarecat a takecareanimal,Software Engineer,"As a Software Engineer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0
in java c and many other languages why are constructors not part of the interface,Software Engineer,The Software Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.325602706
in the last years there has been a lot of hype around nodejs whats your opinion on using a language that was initially conceived to run in the browser in the backend,Frontend Developer,Frontend Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.239214564
pretend you have a time machine and pretend that you have the opportunity to go to a particular point in time during javas or c python go or whatever history and talk with some of the jdk architects what would you try to convince them of removing checked exceptions adding unsigned primitives adding multipleinheritance,Machine Learning Engineer,The Machine Learning Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.295758513
imagine you want to remove the possibility to have null references in your preferred language how would you achieve this goal what consequences would this have,Software Engineer,"As a Software Engineer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0
why are firstparty cookies and thirdparty cookies treated so differently,Frontend Developer,Frontend Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.322404145
how would you manage web services api versioning,System Architect,System Architects at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.227587739
from a backend perspective are there any disadvantages or drawbacks on the adoption of single page applications,Frontend Developer,"As a Frontend Developer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.281132821
why do we usually put so much effort for having stateless services whats so good in stateless code and why and when is statefulness bad,Object-Oriented Developer,"This role as a Object-Oriented Developer involves ownership of functional features, performance goals, and scalable engineering practices.",0.269711534
rest and soap when would you choose one and when the other,Backend Developer,Backend Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.42747405
in web development modelview controller and modelviewviewmodel approaches are very common both in the backend and in the frontend what are they and why are they advisable,Software Engineer,The Software Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.311734429
how would you migrate an application from a database to another for example from mysql to postgresql if you had to manage that project which issues would you expect to face,Full-Stack Developer,"As a Full-Stack Developer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.313199194
why do databases treat null as a so special case for example why does select from table where field null not match records with null field in sql,Backend Developer,"As a Backend Developer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.296676
acid is an acronym that refers to atomicity consistency isolation and durability 4 properties guaranteed by a database transaction in most database engines what do you know about this topic would you like to elaborate,Full-Stack Developer,Full-Stack Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.341490698
how would you manage database schema migrations that is how would you automate changes to database schema as the application evolves version after version,Full-Stack Developer,Full-Stack Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.40557854
how is lazy loading achieved when is it useful what are its pitfalls,Frontend Developer,The Frontend Developer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.409455714
the so called n 1 problem is an issue that occurs when code needs to load the children of a parentchild relationship with a orms that have lazyloading enabled and that therefore issue a query for the parent record and then one query for each child record how to fix it,System Architect,"This role as a System Architect involves ownership of functional features, performance goals, and scalable engineering practices.",0.237279755
how would you find the most expensive queries in an application,Full-Stack Developer,Full-Stack Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.327357262
in your opinion is it always needed to use database normalization when is it advisable to use denormalized databases,Full-Stack Developer,Full-Stack Developers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.235166052
of of the continuous integrations techniques is called bluegreen deployment it consists in having two production environments as identical as possible and in performing the deployment in one of them while the other one is still operating and than in safely switching the traffic to the second one after some convenient testing this technique becomes more complicated when the deployment includes changes to the database structure or content id like to discuss this topic with you,Quality Assurance (QA) Engineer,The Quality Assurance (QA) Engineer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.343631377
what is eventual consistency,Backend Developer,"This role as a Backend Developer involves ownership of functional features, performance goals, and scalable engineering practices.",0.345480282
brewers theorem most commonly known as the cap theorem states that in the presence of a network partition the p in cap a systems designer has to choose between consistency the c in cap and availability the a in cap can you think about examples of cp ap and ca systems,System Architect,Join the team as a System Architect to solve technical problems and contribute to strategic system improvements.,0.371080427
how would you explain the recent rise in interest in nosql,Backend Developer,Join the team as a Backend Developer to solve technical problems and contribute to strategic system improvements.,0.416236102
how does nosql tackle scalability challenges,Software Engineer,Software Engineers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0.27153759
when would you use a document database like mongodb instead of a relational database like mysql or postgresql,Full-Stack Developer,"As a Full-Stack Developer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0.319760704
why is branching with mercurial or git easier than with svn,Software Engineer,"As a Software Engineer, you'll develop, optimize, and support solutions tailored to our system architecture and business priorities.",0
what are the pros and cons of distributed version control systems like git over centralized ones like svn,Software Engineer,Join the team as a Software Engineer to solve technical problems and contribute to strategic system improvements.,0.317531082
could you describe github flow and gitflow workflows,Full-Stack Developer,The Full-Stack Developer will be responsible for delivering value through technical solutions aligned with modern development practices.,0.229703844
whats a rebase,Software Engineer,Software Engineers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0
why are merges easier with mercurial and git than with svn and cvs,Software Engineer,Software Engineers at our company help build reliable and efficient systems through thoughtful design and collaborative implementation.,0
why do we need concurrency anyway explain,Backend Developer,Join the team as a Backend Developer to solve technical problems and contribute to strategic system improvements.,0.322009797
why is testing multithreadedconcurrent code so difficult,Quality Assurance (QA) Engineer,"Contribute to the design of scalable QA strategies, from exploratory testing to continuous integration pipelines.",0.360851904
what is a race condition code an example using whatever language you like,Backend Developer,"Design and maintain scalable backend services, APIs, and databases optimized for performance and availability.",0.208076803
what is a deadlock would you be able to write some code that is affected by deadlocks,Software Engineer,"Deliver full lifecycle software development with a focus on modular design, maintainability, and performance.",0.337540286
what is process starvation if you need lets review its definition,Data Engineer,Integrate APIs and automate data ingestion processes for scalable and reproducible pipelines.,0.243581837
what is a wait free algorithm,Software Engineer,Apply object-oriented programming and design patterns to solve technical problems across the stack.,0
how would you test a distributed system,Quality Assurance (QA) Engineer,"Collaborate with developers to understand requirements, define edge cases, and improve test coverage.",0.398109652
when would you apply asynchronous communication between two systems,System Architect,"The System Architect role involves contributing to system architecture, development, and operational excellence.",0.326757468
what are the general pitfalls of remote procedure calls,Software Engineer,Collaborate with cross-functional teams to implement product features using modern software practices.,0
if you are building a distributed system for scalability and robustness what are the different things youd think of if you are working in a closed and secure network environment versus when you are working in a geographically distributed and public system,System Architect,"As a System Architect, your work will support scalable solutions and high-quality deliverables.",0.219738921
how would you manage fault tolerance in a web application what about in a desktop one,Backend Developer,Write robust server-side logic to support product functionality and integrate with external services.,0.424742068
how would you deal with failures in a distributed system,System Architect,"As a System Architect, your work will support scalable solutions and high-quality deliverables.",0.313066289
lets talk about the several approaches to reconciliation after network partitions,Software Engineer,"Build and maintain reliable software systems while applying principles of clean code, testing, and reusability.",0
what are the fallacies of distributed computing,System Architect,"The System Architect role involves contributing to system architecture, development, and operational excellence.",0.313066289
when would you use requestreply and when publishsubscribe,Backend Developer,"Design and maintain scalable backend services, APIs, and databases optimized for performance and availability.",0.217125148
suppose the system you are working on does not support transactionality how would you implement it from scratch,Quality Assurance (QA) Engineer,"Develop and execute test plans, write automated scripts, and ensure high product quality across deployments.",0.237796397
what is agility,Software Engineer,"Participate in code reviews, system design sessions, and the continuous improvement of engineering standards.",0
how would you deal with legacy code,Algorithm Engineer,"The Algorithm Engineer role involves contributing to system architecture, development, and operational excellence.",0.325179291
say im your project manager and im no expert in programming would you try explaining to me what legacy code is and why should i care about code quality,Data Engineer,"Design ETL workflows to extract, transform, and load data for analytics, reporting, and modeling.",0.261927852
im the ceo of your company explain to me kanban and convince me to invest in it,Software Engineer,Apply object-oriented programming and design patterns to solve technical problems across the stack.,0
what is the biggest difference between agile and waterfall,Software Engineer,"Build and maintain reliable software systems while applying principles of clean code, testing, and reusability.",0
being a team manager how would you deal with the problem of having too many meetings,Full-Stack Developer,"As a Full-Stack Developer, your work will support scalable solutions and high-quality deliverables.",0.192792195
how would you manage a very late project,Backend Developer,"Design and maintain scalable backend services, APIs, and databases optimized for performance and availability.",0.237276595
individuals and interactions over processes and tools and customer collaboration over contract negotiation comprise half of the values of the agile manifesto discuss,DevOps Engineer,"The DevOps Engineer role involves contributing to system architecture, development, and operational excellence.",0.266596212
tell me what decisions would you take if you could be the cto of your company,Data Engineer,Integrate APIs and automate data ingestion processes for scalable and reproducible pipelines.,0.402859801
are program managers useful,Software Engineer,"Participate in code reviews, system design sessions, and the continuous improvement of engineering standards.",0
organize a development team using flexible schedules that is no imposed working hours and take as you need vacation policy,Software Engineer,"Participate in code reviews, system design sessions, and the continuous improvement of engineering standards.",0.36120288
how would you manage a very high turn over and convince developers not to leave the team without increasing compensation what could a company improve to make them stay,DevOps Engineer,"The DevOps Engineer role involves contributing to system architecture, development, and operational excellence.",0.359260923
what are the top 3 qualities you look for in colleagues beyond their code,Algorithm Engineer,"As a Algorithm Engineer, your work will support scalable solutions and high-quality deliverables.",0.325179291
what are the top 3 things you wish nontechnical people knew about code,Algorithm Engineer,"As a Algorithm Engineer, your work will support scalable solutions and high-quality deliverables.",0.325179291
imagine your company gives you 1 month and some budget to improve your and your colleagues daily life what would you do,DevOps Engineer,"As a DevOps Engineer, your work will support scalable solutions and high-quality deliverables.",0.457063419
make a fifo queue using only lifo stacks then build a lifo stack using only fifo queues,System Architect,"As a System Architect, your work will support scalable solutions and high-quality deliverables.",0.33487984
write a snippet of code affected by a stack overflow,Software Engineer,"Build and maintain reliable software systems while applying principles of clean code, testing, and reusability.",0.314784949
write a tailrecursive version of the factorial function,Quality Assurance (QA) Engineer,"Contribute to the design of scalable QA strategies, from exploratory testing to continuous integration pipelines.",0.294746883
using your preferred language write a repl that echoes your inputs evolve it to make it an rpn calculator,Quality Assurance (QA) Engineer,"Contribute to the design of scalable QA strategies, from exploratory testing to continuous integration pipelines.",0.251215927
how would you design a defragger utility,Frontend Developer,"As a Frontend Developer, your work will support scalable solutions and high-quality deliverables.",0.337115178
write a program that builds random mazes,Quality Assurance (QA) Engineer,"Develop and execute test plans, write automated scripts, and ensure high product quality across deployments.",0.294746883
write a sample program that produces a memory leak,Quality Assurance (QA) Engineer,"Develop and execute test plans, write automated scripts, and ensure high product quality across deployments.",0.241969202
generate a sequence of unique random numbers,Software Engineer,"Build and maintain reliable software systems while applying principles of clean code, testing, and reusability.",0
write a simple garbage collection system,Quality Assurance (QA) Engineer,Ensure quality assurance practices align with software development processes through automation and validation.,0.294746883
write a basic message broker using whatever language you like,Software Engineer,Collaborate with cross-functional teams to implement product features using modern software practices.,0.189811367
write a very basic web server draw a road map for features to be implemented in the future,Quality Assurance (QA) Engineer,"Collaborate with developers to understand requirements, define edge cases, and improve test coverage.",0.214935594
how would you sort a 10gb file how would your approach change with a 10tb one,System Architect,"The System Architect role involves contributing to system architecture, development, and operational excellence.",0.347134605
how would you programmatically detect file duplicates,System Architect,"The System Architect role involves contributing to system architecture, development, and operational excellence.",0.347134605
when is a cache not useful or even dangerous,Software Engineer,Collaborate with cross-functional teams to implement product features using modern software practices.,0
why does eventdriven architecture improve scalability,DevOps Engineer,"As a DevOps Engineer, your work will support scalable solutions and high-quality deliverables.",0.339270125
what makes code readable,Algorithm Engineer,"The Algorithm Engineer role involves contributing to system architecture, development, and operational excellence.",0.325179291
what is the difference between emergent design and evolutionary architecture,Algorithm Engineer,"As a Algorithm Engineer, your work will support scalable solutions and high-quality deliverables.",0.333727658
scale out vs scale up how are they different when to apply one when the other,Data Engineer,Build and maintain robust data pipelines for batch and streaming use cases using modern data platforms.,0.230850871
how to deal with failover and user sessions,Python Developer,"The Python Developer role involves contributing to system architecture, development, and operational excellence.",0.398122265
what is cqrs command query responsibility segregation how is it different from the oldest commandquery separation principle,Software Engineer,Apply object-oriented programming and design patterns to solve technical problems across the stack.,0
the so called multitier architecture is an approach to design a client server system aimed to keep physically and logically separated presentation application processing data management and other functions the most widespread of the multitier architectures is the threetier architecture would you discuss the pros and cons of such an approach,Algorithm Engineer,"As a Algorithm Engineer, your work will support scalable solutions and high-quality deliverables.",0.239364052
how would you design a software system for scalability,Software Engineer,Collaborate with cross-functional teams to implement product features using modern software practices.,0.513677144
someone gave the name the c10k problem to the problem of optimising network sockets to handle over 10000 open connections at once while handling 10000 concurrent clients is not the same as handling 10000 open connection the context is similar its a tough challenge anyway and no one is expected to know every single detail to solve it it may be interesting to discuss the strategies you know to deal with that problem would you like to try,Data Engineer,Integrate APIs and automate data ingestion processes for scalable and reproducible pipelines.,0.215025394
how would you design a decentralized that is with no central server p2p system,Full-Stack Developer,"As a Full-Stack Developer, your work will support scalable solutions and high-quality deliverables.",0.249142059
you may recall that common gateway interface cgi is a standard protocol for web servers to execute programs cgi scripts that execute as commandline programs on a server and that dynamically generate html pages when invoked by a http request perl and php used to be common languages for such scripts in cgi a http request generally causes the invocation of a new process on the server but fastcgi scgi and other approaches improved the mechanism raising the performance with techniques such as preforking processes can you discuss why cgi became obsolete and was instead replaced with other architectural approaches,Backend Developer,Write robust server-side logic to support product functionality and integrate with external services.,0.23011234
how would you defend the design of your systems against vendor lockin,Security Engineer,"The Security Engineer role involves contributing to system architecture, development, and operational excellence.",0.360840931
what are the disadvantages of the publishsubscribe pattern at scale,Data Engineer,"Collaborate with stakeholders to define data schemas, optimize storage, and deliver trusted datasets.",0.303467606
whats new in cpus since the 80s and how does it affect programming,Data Engineer,"Collaborate with stakeholders to define data schemas, optimize storage, and deliver trusted datasets.",0.46269921
in which part of the lifecycle of a software performance should be taken in consideration and how,System Architect,"As a System Architect, your work will support scalable solutions and high-quality deliverables.",0.457110242
how could a denial of service arise not maliciously but due to a design or architectural problem,System Architect,"As a System Architect, your work will support scalable solutions and high-quality deliverables.",0.346089623
whats the relationship between performance and scalability,Data Engineer,Ensure data quality and integrity by implementing validation frameworks and monitoring systems.,0.311092853
when is it ok if ever to use tight coupling,Backend Developer,"Design and maintain scalable backend services, APIs, and databases optimized for performance and availability.",0.217125148
what characteristic should a system have to be cloud ready,Security Engineer,"The Security Engineer role involves contributing to system architecture, development, and operational excellence.",0.335189041
does unity of design imply an aristocracy of architects putting it simple can good design emerge from a collective effort of all developers,Frontend Developer,"The Frontend Developer role involves contributing to system architecture, development, and operational excellence.",0.337115178
whats the difference between design architecture functionality and aesthetic discuss,Algorithm Engineer,"As a Algorithm Engineer, your work will support scalable solutions and high-quality deliverables.",0.47509252
why in a soa longlived transactions are discouraged and sagas are suggested instead,Backend Developer,Contribute to backend codebases that enable seamless cross-service communication and data processing.,0.470260186
what are the differences between soa and microservice,Software Engineer,"Build and maintain reliable software systems while applying principles of clean code, testing, and reusability.",0
lets talk about web services versioning version compatibility and breaking changes,Object-Oriented Developer,"The Object-Oriented Developer role involves contributing to system architecture, development, and operational excellence.",0.242989624
whats the difference between a transaction and a compensation operation in a saga in soa,Software Engineer,Apply object-oriented programming and design patterns to solve technical problems across the stack.,0
when is a microservice too micro,Software Engineer,"Deliver full lifecycle software development with a focus on modular design, maintainability, and performance.",0
what are the pros and cons of microservice architecture,Algorithm Engineer,"As a Algorithm Engineer, your work will support scalable solutions and high-quality deliverables.",0.372260269
how do you write secure code in your opinion is it one of the developers duties or does it require a specialized role in the company and why,Software Engineer,"Deliver full lifecycle software development with a focus on modular design, maintainability, and performance.",0.26923226
why is it said that cryptography is not something you should try to invent or design yourself,Frontend Developer,"The Frontend Developer role involves contributing to system architecture, development, and operational excellence.",0.337115178
what is two factor authentication how would you implement it in an existing web application,Backend Developer,"Optimize backend architecture for latency, throughput, and fault tolerance in distributed systems.",0.349953254
if not carefully handled there is always a risk of logs containing sensitive information such as passwords how would you deal with this,DevOps Engineer,"As a DevOps Engineer, your work will support scalable solutions and high-quality deliverables.",0.272643873
write down a snippet of code affected by sql injection and fix it,Backend Developer,"Implement secure backend features with attention to data integrity, authentication, and resilience.",0.310149106
how would it be possible to detect sql injection via static code analysis i dont expect you to write an algorithm capable of doing this as it is probably a huge topic but lets discuss a general approach,Backend Developer,"Implement secure backend features with attention to data integrity, authentication, and resilience.",0.260094233
what do you know about crosssite scripting if you dont remember it lets review online its definition and lets discuss about it,Software Engineer,Apply object-oriented programming and design patterns to solve technical problems across the stack.,0
what do you know about crosssite forgery attack if you dont remember it lets review online its definition and lets discuss about it,Software Engineer,"Build and maintain reliable software systems while applying principles of clean code, testing, and reusability.",0
how does https work,Frontend Developer,"As a Frontend Developer, your work will support scalable solutions and high-quality deliverables.",0.233844246
whats a maninthemiddle attack and why does https help protect against it,Security Engineer,"The Security Engineer role involves contributing to system architecture, development, and operational excellence.",0.33544044
how can you prevent the users session from being stolen chances are you remember what session or cookie hijacking is otherwise lets read its wikipedia page together,Security Engineer,"The Security Engineer role involves contributing to system architecture, development, and operational excellence.",0.224598315
why does functional programming matter when should a functional programming language be used,Data Engineer,Build and maintain robust data pipelines for batch and streaming use cases using modern data platforms.,0.311254292
how do companies like microsoft google opera and mozilla profit from their browsers,Software Engineer,Apply object-oriented programming and design patterns to solve technical problems across the stack.,0.355297034
why does opening a tcp socket have a large overhead,System Architect,"The System Architect role involves contributing to system architecture, development, and operational excellence.",0.27234328
what is encapsulation important for,Software Engineer,Collaborate with cross-functional teams to implement product features using modern software practices.,0.33413036
what is a realtime system and how is it different from an ordinary system,Software Engineer,"Build and maintain reliable software systems while applying principles of clean code, testing, and reusability.",0
whats the relationship between realtime languages and heap memory allocation,Software Engineer,Collaborate with cross-functional teams to implement product features using modern software practices.,0.353619069
immutability is the practice of setting values once at the moment of their creation and never changing them how can immutability help write safer code,Software Engineer,Apply object-oriented programming and design patterns to solve technical problems across the stack.,0.337540286
what are the pros and cons of mutable and immutable values,Software Engineer,"Deliver full lifecycle software development with a focus on modular design, maintainability, and performance.",0
whats the objectrelational impedance mismatch,Software Engineer,"Participate in code reviews, system design sessions, and the continuous improvement of engineering standards.",0
which principles would you apply to define the size of a cache,Frontend Developer,"As a Frontend Developer, your work will support scalable solutions and high-quality deliverables.",0.330536437
